epoch,train_loss,val_loss
1,0.042179758947569625,0.009374076130916365
2,0.010967812672804868,0.008060079900897108
3,0.00940031834083566,0.0073690998143865726
4,0.008398610596147809,0.007055881189007778
5,0.007529308634733374,0.00679414864629507
6,0.007153912934751708,0.006696446154383012
7,0.006615093123922158,0.006785397453786573
8,0.0064652076042774655,0.006366457089607138
9,0.006251684928272841,0.006354691027663648
10,0.005811499233113929,0.006435077934875153
11,0.00566657390453816,0.006344441267719958
12,0.005494206936822997,0.006636521049113071
13,0.00522421279798619,0.0069833204041424325
14,0.005218464408427023,0.006327374569518724
15,0.005056493528818171,0.0062199029111070555
16,0.004903449381094119,0.006231091148511041
17,0.004727184539034922,0.006636575465381611
18,0.0046186184606141,0.006305547029769514
19,0.004626431282297591,0.006128320409916341
20,0.0045840360596024945,0.006670638553914614
21,0.004394385722293902,0.005961628906952683
22,0.004512798352380647,0.006224507024453488
23,0.004578893997340953,0.006104466514225351
24,0.004416495387602638,0.005985763875687553
25,0.004399287900979227,0.006098921008415346
26,0.004432881190683559,0.006068461972754449
27,0.0043597459400032635,0.006007166187555413
28,0.00423270640798801,0.0058964282397937495
29,0.0042202322392083545,0.00600125148661391
30,0.004234139449305258,0.005886758551278035
31,0.004205039204356985,0.0059258105773915305
32,0.00423599455958753,0.006053752261213958
33,0.004172578764667127,0.005998324935208074
34,0.004114599144991694,0.005854832709192123
35,0.004271938342235541,0.0059424521453911435
36,0.00417210310355403,0.006127991116700287
37,0.004162238856967819,0.00599386463247356
38,0.004136253607093847,0.005820410993401311
39,0.004217155063675056,0.006032876149838558
40,0.004161356272356164,0.0058242678050737596
41,0.004090155186932734,0.005874696286336984
42,0.00405815978097232,0.005874470016169653
43,0.004191771150678463,0.00595942591146013
44,0.004123698454558863,0.005845124911666062
45,0.004118011671654199,0.005819333809340605
46,0.00401913884427986,0.0058127645255081
47,0.004070458554631053,0.005763987369609822
48,0.004081073024528816,0.005785175323617295
49,0.0040341052022265225,0.005838556240942126
50,0.004005587093138193,0.005817730614508037
51,0.003989371105587931,0.005778707072895486
52,0.004096836913176762,0.005769873678436852
53,0.004011307530502345,0.005710114947360126
54,0.003998746221933487,0.005669176054943818
55,0.004006617756161545,0.005790459958188876
56,0.004078625281605082,0.005656287283090933
57,0.003963717265308277,0.005771892314587603
58,0.003948936127059455,0.005746952649788
59,0.003991311684953496,0.005698090525875159
60,0.0040725640949249055,0.005782241823617369
61,0.0039889628170258415,0.005742854491036269
62,0.004044712017086671,0.005616820665854902
63,0.003954051288514895,0.005613178083531238
64,0.004032823740125811,0.005651150019402849
65,0.003943829624671623,0.005843498425638245
66,0.003993883097459192,0.005594710599543759
67,0.003978866425144242,0.005752093411538226
68,0.0040646122326643795,0.0055873980580145146
69,0.0038686039570492016,0.0056686772349712556
70,0.0039482316271173285,0.005621958729716425
71,0.003989172536515928,0.00574439145546421
72,0.004016627318694801,0.005734384255811164
73,0.003939166190236219,0.005692262792981637
74,0.003982280971445678,0.005824751097570698
75,0.0038934472460536735,0.005637588287572726
76,0.0038768995866616755,0.005577245125186892
77,0.003964026142278933,0.005677271976874181
78,0.003852007680073527,0.00561929389497891
79,0.003885023102062457,0.0056026238954109435
80,0.0038147670997967643,0.005612879763757519
81,0.00381139321290257,0.005623376210933202
82,0.003932103080721739,0.0056739454642229245
83,0.0038693194082724497,0.005664503467378381
84,0.0038082691557925715,0.00560596739542234
85,0.003890027787359465,0.005632735396757198
86,0.0039052396796153037,0.005632668587895751
87,0.003893882982970272,0.005607149237475823
88,0.003807180887526302,0.005561193049034046
89,0.0039188691177472175,0.005671381626198127
90,0.0038896363725515223,0.00555916669223734
91,0.0038389117681458056,0.005651873533242906
92,0.003855347879544755,0.00557449348460068
93,0.003852067591821087,0.0055857636199652914
94,0.003817005031224754,0.005630373398234951
95,0.0038555319273700824,0.005688252940271923
96,0.0038666325322132037,0.005625151574495248
97,0.003917013444373631,0.005603605320793577
98,0.003919559478130539,0.0056099740589343125
99,0.003782476491702046,0.005585858325939625
100,0.0038091049967316983,0.005618823935510591
