epoch,train_loss,val_loss
1,0.0764985220107649,0.01656095421873033
2,0.009094545746588014,0.0046108267939416695
3,0.005305570845043153,0.00400420566322282
4,0.004566376102073783,0.0037532938719959928
5,0.004094481798321275,0.003802831060020253
6,0.0038594807069914946,0.003598584817518713
7,0.0035354192684670643,0.0032565783950849435
8,0.003075294866409552,0.0027242481702705844
9,0.0026593663975030984,0.0024113552601193076
10,0.0023388024579617194,0.002283378416323103
11,0.0021163632093313418,0.0017833604082261444
12,0.0018656006702388237,0.0014567589036232676
13,0.0016914110726377527,0.0014210931690467987
14,0.0015669497546956076,0.0013089730606225202
15,0.0014886369945348373,0.001358828772645211
16,0.0014133560897399938,0.0011813279798661824
17,0.001363996969614943,0.0011832884624163854
18,0.0012921216711609823,0.0010831848875386641
19,0.0012589269168009716,0.001185911811699043
20,0.0012051929987917122,0.001046031001751544
21,0.0011845449516321032,0.0010410960177250671
22,0.0011217891829021808,0.0009797748713754118
23,0.0010922988830965811,0.0009920498379506172
24,0.0010914918311755173,0.0009546545472585422
25,0.0010229724229637732,0.0008954540170088876
26,0.0009857746726213788,0.0009186500143550802
27,0.0009661121021573698,0.0008416379266418517
28,0.0009504148120218556,0.000869801268381707
29,0.0009240263897351854,0.0008708453413419192
30,0.0009122922308701423,0.0008238393861392979
31,0.0008963314035749395,0.0008904719432757702
32,0.0008836464105115738,0.000830155973599176
33,0.000852656663534747,0.0008140602719504386
34,0.0008568558296766631,0.0007263615176452731
35,0.0008531909311776482,0.0008647185775407706
36,0.0008162830603915998,0.0008508130917834933
37,0.0008254916844764791,0.0007486403125221841
38,0.0008004199031607381,0.0007265142064716201
39,0.000790560002237076,0.0007754203757940559
40,0.0008059248957059546,0.0006940297373512294
41,0.0007836276316083967,0.0007827077341062249
42,0.0007728641761267291,0.0007486752886688919
43,0.0007524975772996965,0.000701612031152763
44,0.0007577858051393248,0.0006867026994041226
45,0.0007378629109423075,0.0006628394746803678
46,0.0007375846454773896,0.0006738649910403183
47,0.0007085939192100861,0.0006699965441657696
48,0.0007255893102410482,0.0006089704460828216
49,0.0007116254899821277,0.0006811226714853547
50,0.0006790269607985724,0.0006125314777091262
51,0.0006554558275248772,0.0005289806070140912
52,0.0006542644474393456,0.0005183573197427904
53,0.0006328024522580173,0.00047086916689295324
54,0.0006302938026887464,0.00053310224750021
55,0.0006271813111587627,0.0005178221817186568
56,0.0006114730884811641,0.0004324340446419228
57,0.0005892322066626677,0.0005078875934850657
58,0.0005738857625796559,0.0005098680529408739
59,0.0005839933782096653,0.00046003030822248546
60,0.0005742793095123488,0.0004744889727589907
61,0.0005601611727018151,0.00045186286928583286
62,0.0005636858369793377,0.00040659801758010874
63,0.0005537440611078637,0.00047379427254782056
64,0.0005482054214163717,0.00043445805054943777
65,0.0005430569252764274,0.00041644330809504027
66,0.0005490952757099876,0.00044096102508774495
67,0.0005289205223172238,0.00039702268008113607
68,0.0005311210197760374,0.0003954090411389188
69,0.0005257461313054331,0.00040336108177143617
70,0.0005222051758859639,0.0004954803892178461
71,0.0005308957252834392,0.00045484190766728713
72,0.0005099202590177551,0.00038166044894751396
73,0.0005027500818219518,0.0005063279453315772
74,0.0005124732816641751,0.0003877145273509086
75,0.0004937214136589319,0.0003917550934420433
76,0.0005055842408182798,0.00038033125932997793
77,0.0005131131185148011,0.00040077012094116073
78,0.0005122756335497668,0.0004132089198537869
79,0.00048149387808475047,0.0003741380229621427
80,0.0004970870669889596,0.0004312204026064137
81,0.000477295052145824,0.0003574868290161248
82,0.0004843686367426666,0.00038186371995834633
83,0.00048224878332153563,0.00044475826383859384
84,0.0004752041123408292,0.000340264629567173
85,0.0004852495162984789,0.00040758568720775654
86,0.00047626798306217615,0.00034782953967351206
87,0.000477729581845259,0.00033340192301693604
88,0.0004653897382273239,0.0003620278745438554
89,0.00046363888052707936,0.00039764428551279706
90,0.00047176949696482295,0.00046253096013970207
91,0.0004693235272757842,0.0004349473651382141
92,0.000461611853721219,0.00038674103507219115
93,0.0004622282766441848,0.000373163794647553
94,0.00042588746580025016,0.0003672586611355655
95,0.0004200798483257781,0.0003323449460367556
96,0.0004252021226940477,0.00035848426805387137
97,0.0004378043846372748,0.0003567095547805366
98,0.00041492282273663606,0.0003272434460086515
99,0.0004173882457377788,0.0003629151789027674
100,0.0004367282853179079,0.0003821419844462071
